email,homework,time_homework,time_lectures
35becd69448ca0c830755c7011cd57b47d686e17,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",15.0,10.0
c43b3616b59832e7669c17a0954f248c5a1f71c4,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,6.0
5f80dbda831fdff854040341058da090787d2e9c,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,3.0
590983dc3b050c811dbab3e7bc5acd761e9dc1fb,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,1.0
4c6b903144a8654b4a95c4ab06c57357c1944c2e,Workshop 1: Data Ingestion,2.0,2.0
de0f806756d4a65ab26338444af6e1cdafc8b038,Workshop 1: Data Ingestion,2.0,4.0
e83fb0f3eeff53aeae1a99d9297eeb2abffab8ac,Homework 5: Batch processing,4.0,2.0
5a6c2ba8747d00b47829ddd65a92b08a4c356aa1,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",12.0,3.0
1be7eaa7f98eaa5b7626c24e34f90b47285df723,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,2.0
53ef925074886bd37411a846359e239ad1763cfc,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,2.0
1af9da06c12cef42d442fa6f8bcb7a78122610a6,Homework 5: Batch processing,2.0,3.0
1235ac9158b93ae00936afe3309a0822f4ccfc8c,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,3.0
ca1ba39c6c7e793e51ada9ae50778fac5694c2c1,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",1.0,3.0
fb073a1ad1dfd16dc6822f37040705e1d56e65cc,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",0.0,1.0
246d3414ea6837bd6f05fc04c7ca82f658a6b6c6,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,2.0
6edf5b464a1164dc3a993b78422680805102c3c7,Homework 3: Data Warehouse,2.0,2.0
be90123b9be80db5d2bae984b175a7bd2dbfcdc7,Homework 3: Data Warehouse,2.0,2.0
557500eda72ab084fa7937ae6091ec0a1c6e4d44,Workshop 2: Streaming with SQL,1.0,4.0
80fdf48e3dbcf51f67748101eb9d00adca709ea0,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",,6.0
e83fb0f3eeff53aeae1a99d9297eeb2abffab8ac,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,2.0
00adce6b1014009711154c36f9ba08bcb0017b7a,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",25.0,4.0
8597b72c201eb20b1b9347da145fb7dce9954911,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,2.0
10072165f8e8ca0f03262e7648583d7e961ca0f9,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,3.0
945763d3aa4dd571835d1e567f4538d592d6b189,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,3.0
2dc830d8385dadd615ef4e1842b1044924243ba4,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,2.0
e9f5d99e2578128b85fa32f67391694704b8c3eb,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",6.0,6.0
01330c65233b4ea1048d9f532be7b2fa1bbfb09c,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",12.0,2.0
6f821f57fa0bb7d1810dbb93dd2673e43b09fd78,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",6.0,2.0
a1a76beb387a88ccfc81ecd5cb28b774d16e1bda,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,1.0
20e5ead8999b87441e4183bcfb035dff279fb3ea,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,3.0
eb22b0cdeaf25e52bc8bae047ed3a660d62d316f,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",16.0,2.0
471f3edd25f7963a6be7498b94ea9a4114131983,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,2.0
fef6dc1228a46956962181108aa225023c7d3855,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,3.0
8134ed17fc2cc7ff1f1c27338f689afff6d5e992,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,5.0
239e11526dc614d8fe1f10b2afe79b5cd1da908e,Homework 2: Mage,40.0,8.0
350b6aa983cde223e83f417a3953a0608107e4ed,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,3.0
b5be2925036eb05438b1015d0e11997d198f180e,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,1.0
130638cab62e6b7b26f8fe4be460e41bb39c1769,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,2.0
38acd9d26951b814dedcf5fda9d3d8ddfbe141fa,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,2.0
4c3c42d0c2cc16d286c8b90cd814c08ff4546764,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",15.0,5.0
23492ce0d6614b6b81954a8769d902a2a12275fd,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",6.0,5.0
36e84b002a6787a7c3407f10f36f2b9c05d3a81d,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,1.0
be1f8ca85bfbdf80414fc8f851bedfde64ecc12a,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,3.0
dda5d36e1a3b9956125b2d0b4ea0a99de7e6ae12,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,8.0
5d1437e5a60cab7afff8ddc282fd8e319aa2c879,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",16.0,2.0
ac23dcc6422b70ce67e04e5449eb2206c2e27d99,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,4.0
17b04a78324ae0518b8220981c535039da69f679,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,4.0
5b9f74a904cf27c6c5ea296be7bd58841ed7d336,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,10.0
d6f8ccf56fc029f21e1c2f862389f53f1f10ed1f,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,10.0
d000fa2099d0414b314b033905a78b3b225a6aed,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,2.0
95e909ddab5c93c09b15084041c5f15bafa02ed7,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,2.0
d6287950fb3ef60f664ec6e5ab1699985b00b04f,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,2.0
0cd26af18b22ee3a3eb2415f63ccff3481dd3fff,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,2.0
5c72a74cd8fbcb1a72f34914897a45fa3319fb3b,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",16.0,6.0
33b4f2c54d9ec3d41ad3b49f7403a8662ce30fca,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,3.0
92e97862dde61ef7656f3e3cf6494d5ca16e1378,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",1.0,3.0
3832ee32ab8a8c89a86fb77203d0c010c1c3892f,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,3.0
58e193bb182697fc588c5fd5c391d02206e09536,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",6.0,3.0
2a122b09806eb6ad40b1a612b5e4c1dcacd8600c,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",20.0,1.0
42aebcbd0967ef996e8c520f27e64337cbacce68,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",15.0,5.0
4671916ca68f47f1749b3549d0471075f3b666ff,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,3.0
877add7d1721d5579a08d9965ec545cb933bdb4a,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,4.0
239e11526dc614d8fe1f10b2afe79b5cd1da908e,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",40.0,40.0
bf6c4519130c044d168bd57301d70e5fc749483c,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,2.0
52c9f9714d5939831bc227cf1a58f696ecd72356,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",20.0,2.0
ef46257539ec8520e8e79bcaf0144ac127d857a2,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,4.0
6f8900b29bb88881dbfd84aa337c3a368f81fca0,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,4.0
d927ed22df19ca60c7f8b64e49c1b5d981c5e510,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,5.0
557500eda72ab084fa7937ae6091ec0a1c6e4d44,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,6.0
27b1752e87bc501e113b0f6e4ebebf44b1e111f4,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,5.0
cd27a73a0dfb3a432e068c6ce561c6404c8bba0b,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,1.0
3a74972a754bd50253b3c945048e3b5220118210,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",25.0,10.0
7cef093d59409be420d91c817efd323aa9d42bbc,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,3.0
b1447d4d6bdd5e425cebb5757e525223347ac435,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",6.0,8.0
f212828446955ddbd348a3eae9198e01e0b60484,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,4.0
76b44a94c13e98780f438868d889d40499619723,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",0.0,6.0
7c4f21d152a268055be1212a8600dbe85f162cbd,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,5.0
62504c3e809e48874a1a70d7cc87faca9ab8887d,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",20.0,4.0
916741739d692e01ac5e44c94e28ce255898ebea,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,3.0
883c66f90fcd9fe0ad4968186e922b546d5f4768,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",,2.0
f78401bc750bfd2cd235f385f7a4177ddbb674d2,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,7.0
4126cf97fb83e849da974e4b417772363afc465e,Homework 2: Mage,8.0,1.0
f73f0b2a88464014acd9ea03cca5b1584cdf72c1,Homework 2: Mage,5.0,1.0
c70fc9659c6a642f64aa65402c93844d7f8ae274,Workshop 1: Data Ingestion,1.2,2.0
4c6b903144a8654b4a95c4ab06c57357c1944c2e,Workshop 2: Streaming with SQL,1.0,1.0
ef23c5d889635c35cf7940c3ae187d328cb553fe,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,2.0
19d41c741210f1acaae01d57822da38adc76963c,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,2.0
1a9b1284346bbc04a0d65b059a7a9e7c9d54b499,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,2.0
e2853147d1b5ba28ae492192248b380d31b8d2a5,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,1.5
4d531f4db078c16b73ec0d41aa052eeb19bfaced,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",18.0,35.0
127d7d66c8ecd43b51791734bf419b12f3267738,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,2.0
768ef0ab2379b8c6a55d2c18f672fe15c2c5a634,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,10.0
e3900b7474a3dfe554a74886beb7d41c0aeef06d,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",16.0,1.5
6e6ddad4783ae2595c0d037e0e5b50322570e3f2,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,2.0
cc65b006f330e5ab12f9ab78c6729882b1a8cd3b,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",30.0,15.0
65de061491ab7511cb7f6df35444ee41286e4c9b,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",20.0,5.0
afe02248ba1739450aff9521a267d2909621b40e,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",15.0,3.0
1b4bf7b8d125cf1ecfe30fc4aebde13729ebcc4a,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",48.0,12.0
fa905447a7b35e7b88ecfef81c5b42cf86cb14c0,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,2.0
c651851355895a9c4f0cdf9867bfba1bbe8d385a,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,3.0
ab5bd41f6732b381c3acb4289a6a3175706f60e3,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,2.0
294daeebd50be1eaffcbc838488bef99eb9a90cf,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,2.0
df01d219616cbdb345f6f453ae17a50b2b43a5c6,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,3.0
c96e70ed882b410b14874decb7420094283618a3,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",20.0,2.0
490110c88b6b1049cc8793bdd0b2dbe3a43a112b,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,5.0
44ecc726d59273acd9dae48ca031bf26b4d44af5,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",14.0,4.0
121363740f27ec4ec923ab01bee1611891ed11f4,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,8.0
a5ae3dc74c7bd40a64f9f61107b1eb06f0b96f06,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,8.0
58e193bb182697fc588c5fd5c391d02206e09536,Homework 2: Mage,4.0,2.0
c2db6f3569cfaeb8bc5b9fe3c10b11d542d0d203,Workshop 2: Streaming with SQL,8.0,8.0
02995683640655e978db5ef0d3e5c3e92aecd17f,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,3.0
315da83aacca378ba605434595f871e8b410471e,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",6.0,2.0
e984338dcc8b3bb6b3b7a9ea45ee8146cc4976bb,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,2.0
fd08e567814792076b7daad00946fe5c1000f363,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,2.0
9ffce88a01bfbfe59eeed4d0e8c9b96a3568d1cb,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",6.0,3.0
a97a4e3da3ee5d9144da5a71b136480628f6859c,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,4.0
2144426bae90b22d0ffed691cbf2160101e77073,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",15.0,2.0
1fe5e33a7207cde23692e639f7fa6cbf459c5635,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,2.0
646f9b532cf6d974cd5370ccdf1bdc5fadb1e9bd,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",,8.0
3b7479af006bc776a95de3dca470e99bf4e5ad11,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,6.0
be90123b9be80db5d2bae984b175a7bd2dbfcdc7,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,2.0
1c35c60cc232e800dcaf98f0994a3a9a23c84f81,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,1.0
bd9ff660b0608ed6714f865f1837b10182322ddc,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",6.0,2.0
f358c2b81f88c36d64e7ba2b2fca2e141ff6f9fd,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,10.0
c643849f2f089696eee876e9c6342b85e98ba7bc,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,1.0
f2b67043b060e75f9b1c7824f8063ac8a9693477,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",6.0,3.0
6ddf24990ce2777294b26fbd77535b0e82d9fdea,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",50.0,3.0
cff438bba59f92a4dfde8c546ec190f3ca69bd2e,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,2.0
31339ddeed3f13e28c3c0b1c6ad96280d020428d,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,4.0
8a8a6eb7f6bea6407bc694ea85da9fb49c3b1e1c,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",30.0,5.0
c1b2aa6d728165aa2780b22a7935e5d6bad5070f,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",12.0,3.0
5bbc9980d32ffc904a7261621b41d93c24ae9f08,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,2.0
95afd21d17115c2ca94b770fdc45c565ecda7d1d,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,3.0
135e71d8f492fe13e0a4a8e1af4636f1290c479a,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",0.0,2.0
f45f24336f993d12faf9474e953b5c246cf74b1d,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,4.0
181a157c36d5c6712b1066a8eef0cbc111e26d68,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",20.0,2.0
943da43bb8b063937dae59d0e1a37278cfaca296,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",6.0,3.0
6f5b0180b98b5aee97c56af17bdbc07f35bbbc37,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,2.0
37978012e77fe7d185de5162ab1369b0d78ce464,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",,1.63
8ba35ae0b7040dbaafacbb34c71fd93d7510ea10,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",25.0,2.0
fc632c84c0fb77442f0c0c7a820e1e761b152653,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,3.0
0f05ac15bcf51245550fda584b1424403814cd45,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",24.0,2.0
95ae00cfb559adbd281c548548430f68e5b3d90a,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,2.0
df31ed7377faaf096b5517ca43d2050b7ca46686,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",12.0,2.0
eb6830f19a15d89765c0c5debc05be9884b6e3eb,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,2.0
28a662b452008a1303e9d863ad0a385632f2ced3,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,2.0
2fe61bc5984c9a0dc4c6196980cd6f9b4ce45f1f,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",,2.0
118232f26dcabce0c246bc380d60d941970af9a2,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,2.0
8490a58f89d13cd4de1c3f97b47cf6406b91aa2e,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,10.0
306e76b0767f0cbbf48c3ddf12ad7a61ccf7ad74,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,10.0
9ee1621dd67555bb183ac825b5d14b17b01e0167,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",14.0,2.0
61ae2ef34a14f0f84a5325b1018467fe3d80bd1f,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,15.0
508c6557db033d229be52b2860c81cf2ad09bc73,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",20.0,8.0
edbcf771e5cfd4fa4533e9eb251ce6be3d3e1bf4,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",12.0,10.0
3badb3d447a430c2127830f50103668de5b6a6cb,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",6.0,2.5
b57faf66e3a05e8152d6d7a4779f1c09a868d8cc,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,4.0
58e193bb182697fc588c5fd5c391d02206e09536,Workshop 2: Streaming with SQL,2.0,2.0
2f89cfba5a20d81e243bbecc31708a3de40b5155,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,6.0
00977e24db381130c42b095059201a9ebd9b419d,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,2.0
86dcbc869ea3b1a62a3954202da4d7d0004f48c0,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",15.0,3.0
9fcf83ff25006db0b84e58727c4903a8e5b58517,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",15.0,3.0
affddecd838f4c23c218491aac25f994540378da,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",7.0,7.0
81b7c103843dc3687e3a7901978eb2cb2c087768,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",6.0,2.0
0e4d3c34939437df514f48da80280b270453412a,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,10.0
f35536822136404d6ba53b091f4be24f25079038,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",6.0,1.5
8c46f5efa90d4417757f047a37069e0412fa194d,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,3.0
871712d7c30bf44a8d69c7a47f598cdfecfc7dee,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",6.0,5.0
fb9c809f6948a38a3bddc77208559cefae18a80d,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,2.0
d4af3e16b390c6c6da7b389c23814e7f3ce1f255,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",20.0,2.0
f84652db659a1ccb9f426bfe31cd48eaaa502293,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,3.0
cb10b7a3723318227b6602e2f3fa7fedc78747d1,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",,3.0
f1e9b5c347e3a0030fdb3385dcb38ff7bc1e7b3d,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,5.0
3ff0d8b866d4965aac0c65fcc787042c177ca236,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,4.0
9aef4c4f4cc7f5593a470ab727b34a9513196035,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",7.1,5.0
052a5ca7a46448f6d23fd8504f9258251190b7a5,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,2.0
bd55c9a48f336590d350f5daf19d8e1f919656af,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,1.0
8ba35ae0b7040dbaafacbb34c71fd93d7510ea10,Homework 2: Mage,20.0,5.0
92185d82c9421bfcb14c8fd2650053c10df00317,Homework 5: Batch processing,3.0,1.5
c9738b4d59860cc3989d78e348840c26919f07d2,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",20.0,2.0
35f90a2f20b0c6b2988323f51f8c26dabc70a1de,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,4.0
a2563f3a07b2867593c0860f45911d46b465a7d8,Homework 3: Data Warehouse,1.0,1.0
b137fdc11a77b00013a4b2ed7d0b6fd156c1302a,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,6.0
aefc02e2f7c37e300c17f029280d752bcd73ab05,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,6.0
8f491ce2b0bca7aa639e55ae802913cd81a4d3fc,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,2.0
